,feature_name,shap_value
5,DIMMSocketA2TemperatureReading-TemperatureReading,100.0
14,CPU2TempTemperatureReading-TemperatureReading,86.06662717108475
2,ThermalTotalPSUHeatDissipation-SysAirflowPerSysInputPower,82.35907007419034
10,ThermalTotalPSUHeatDissipation-PowerToCoolRatio,82.15465519542798
20,CPU1TempTemperatureReading-TemperatureReading,77.35754767147787
13,DIMMSocketA4TemperatureReading-TemperatureReading,58.69538831056853
3,PowerMetricsTotalStoragePower-SystemPowerConsumption,31.337503146026105
7,Fan2RPMReading-RPMReading,21.33355867554674
18,Fan4RPMReading-RPMReading,16.294000058038083
9,Fan5RPMReading-RPMReading,11.985540101238229
11,PowerMetricsTotalStoragePower-TotalCPUPower,11.141970473038903
22,CUPSSystemUsage-CPUUsage,10.592088173121624
15,CUPSSystemUsage-SystemUsage,10.461274246306736
19,PowerMetricsTotalStoragePower-TotalMemoryPower,10.401936463122436
8,Fan6RPMReading-RPMReading,10.32047359564401
16,CUPSSystemUsage-MemoryUsage,9.603329324103616
12,DIMMSocketA3TemperatureReading-TemperatureReading,5.516372217914436
21,DIMMSocketA1TemperatureReading-TemperatureReading,5.476953181465274
1,Fan1RPMReading-RPMReading,0.0
17,DIMMSocketA6TemperatureReading-TemperatureReading,0.0
6,Fan3RPMReading-RPMReading,0.0
4,DIMMSocketA5TemperatureReading-TemperatureReading,0.0
0,CUPSSystemUsage-IOUsage,0.0
